Lampen_ID;XREF;YREF
00732;566867.93;5951985.79
00733;566847.43;5951971.39
00736;565371.91;5954021.03
00737;565358.03;5954013.29
00738;565379.60;5953965.41
00739;564914.73;5947677.10
00740;564915.78;5947696.87
00741;564936.05;5947651.65
00742;564957.76;5947625.92
00744;566520.69;5951555.25
00748;564447.68;5950835.30
00749;564449.96;5950853.15
00750;564449.09;5950870.06
00751;564448.58;5950886.89
00752;564448.71;5950904.42
00753;564448.87;5950921.34
00754;564449.19;5950938.62
00755;564449.59;5950955.90
00756;564450.09;5950974.41
00757;564450.36;5950990.43
00758;564449.00;5951007.58
00759;564449.72;5951025.04
00760;564453.22;5951058.77
00761;564454.09;5951076.07
00762;564454.93;5951092.74
00763;564455.98;5951110.76
00764;564452.40;5951041.49
00765;564458.04;5951145.12
00766;564459.85;5951162.68
00767;564463.52;5951178.84
00768;564457.02;5951128.23
00769;564472.44;5951192.35
00770;564496.04;5950460.72
00771;564519.33;5950460.09
00772;564491.41;5950483.99
00773;564487.27;5950505.83
00774;564478.93;5950527.10
00775;564468.71;5950606.42
00776;564473.42;5950579.79
00777;564478.13;5950554.23
00778;564460.55;5950630.41
00779;564460.99;5950655.37
00780;564458.13;5950675.66
00781;564455.83;5950696.50
00782;564449.70;5950716.69
00783;564451.79;5950738.21
00784;564450.49;5950758.98
00785;564449.69;5950779.53
00786;564450.04;5950799.95
00791;565375.10;5953109.85
00792;565370.37;5953137.25
00793;565365.35;5953165.07
00794;565360.08;5953192.31
00795;565355.08;5953219.97
00796;565349.86;5953246.99
00797;565344.30;5953275.85
00798;565338.35;5953302.85
00799;565333.36;5953329.05
00800;565328.69;5953357.39
00801;565323.67;5953384.93
00802;565318.85;5953412.11
00803;565313.47;5953439.02
00804;565304.86;5953467.31
00805;565299.39;5953493.15
00806;567084.11;5955064.13
00807;568871.83;5949387.38
00808;568853.92;5949406.06
00809;568836.10;5949424.53
00810;568817.45;5949440.43
00811;568796.60;5949418.75
00812;568781.26;5949398.14
00813;568766.96;5949374.39
00814;568761.79;5949352.71
00815;568913.66;5949385.61
00816;568912.36;5949371.97
00817;568895.05;5949369.57
00818;568932.32;5949401.83
00819;568948.47;5949415.24
00820;568605.88;5949662.40
00821;568635.05;5949635.22
00822;564628.27;5948226.65
00823;564649.67;5948194.40
00824;564979.22;5947778.05
00825;564961.02;5947761.27
00826;564944.92;5947746.36
00827;564931.03;5947733.76
00828;564913.60;5947717.41
00829;564895.24;5947700.69
00840;564428.78;5946485.37
00841;564407.42;5946464.23
00842;564383.86;5946440.94
00843;564358.04;5946415.48
00844;566204.84;5954304.17
00847;567548.24;5948756.38
00848;567580.98;5948770.05
00849;565681.58;5950910.36
00850;565710.88;5950902.71
00851;565419.91;5948379.96
00852;565399.79;5948381.48
00853;565438.07;5948382.06
00854;564750.47;5951580.81
00855;564927.73;5953644.93
00856;564975.20;5953678.43
00857;565022.95;5953711.97
00858;564371.46;5944826.18
00859;567251.06;5952040.45
00860;567276.28;5952037.42
00861;567270.92;5952107.30
00862;567247.09;5952110.21
00863;567221.19;5952113.48
00864;566246.80;5949544.91
00865;566232.18;5949518.51
00867;564991.00;5947788.37
00868;567841.38;5949358.67
00869;565506.32;5954485.60
00870;565419.03;5954474.70
00871;565358.97;5954466.84
00872;566093.93;5953877.79
00873;566090.71;5953883.44
00874;566095.59;5953887.68
00875;566092.44;5953893.28
00876;566097.34;5953897.58
00877;566094.11;5953903.09
00878;566099.01;5953907.43
00879;566095.83;5953912.81
00880;566099.98;5953917.75
00881;566101.94;5953929.83
00882;566097.99;5953942.26
00883;566094.62;5953924.39
00884;565849.25;5954417.74
00885;565846.87;5954442.22
00886;565845.00;5954473.31
00887;565843.20;5954503.15
00888;565834.51;5954530.93
00889;566255.25;5954325.21
00890;566279.36;5954327.53
00891;566286.00;5954359.41
00892;566268.15;5954358.94
00893;566246.29;5954363.50
00894;566217.51;5954375.39
00895;566187.68;5954381.21
00896;566235.72;5954308.85
00897;566266.53;5954297.86
00899;567706.99;5952897.44
00900;567679.08;5952904.19
00901;567649.55;5952920.24
00902;566875.97;5951458.55
00903;567277.04;5951951.20
00904;567279.81;5951974.59
00905;567282.97;5952001.00
00906;567285.79;5952024.60
00907;567289.68;5952056.98
00908;567292.44;5952080.28
00909;567294.33;5952104.45
00910;567218.94;5951933.50
00911;567220.77;5951948.47
00912;567222.53;5951963.20
00913;567224.33;5951978.11
00914;567226.14;5951992.99
00915;567227.90;5952007.88
00916;567229.48;5952020.89
00917;567231.25;5952035.74
00918;567233.08;5952050.61
00919;567234.84;5952065.51
00920;567236.66;5952080.36
00921;567238.43;5952095.15
00922;567243.33;5951908.07
00923;567206.85;5951910.93
00924;567182.19;5951913.77
00925;567195.81;5951932.56
00926;567226.52;5951928.98
00927;564822.56;5954927.39
00928;564849.38;5954920.52
00929;564881.68;5954912.43
00930;565106.55;5954825.64
00931;565138.76;5954778.42
00932;565154.06;5954726.29
00933;565163.40;5954674.84
00934;565168.65;5954634.93
00935;565148.81;5954653.05
00936;565141.80;5954703.95
00937;565129.50;5954757.35
00938;565104.29;5954803.35
00939;565081.59;5954826.33
00940;565052.47;5954843.36
00941;565028.10;5954854.25
00942;565001.03;5954862.21
00943;564974.06;5954869.09
00944;564944.92;5954876.43
00945;564917.72;5954883.46
00946;564896.82;5954888.59
00947;564797.81;5954916.29
00948;564765.39;5954924.18
00949;564735.68;5954932.49
00950;564702.30;5954939.00
00951;564678.94;5954946.84
00952;564653.48;5954957.19
00953;565175.42;5954537.15
00954;565175.39;5954500.50
00955;565179.51;5954461.14
00956;565176.92;5954429.89
00957;565176.02;5954409.53
00958;565148.52;5954411.23
00959;565155.93;5954447.93
00960;565158.95;5954483.77
00961;565159.66;5954524.02
00962;565159.05;5954562.10
00963;565173.27;5954585.66
00964;565152.57;5954606.94
00965;565102.87;5954261.65
00966;565136.82;5954312.12
00967;565166.63;5954360.38
00968;565172.43;5954382.38
00969;565104.18;5954297.03
00970;565136.24;5954340.91
00971;565146.44;5954388.89
00972;564952.31;5954083.04
00973;564978.53;5954116.37
00974;564943.98;5954107.96
00975;564973.28;5954140.58
00976;564992.38;5954163.83
00977;565012.46;5954188.24
00978;565031.94;5954211.95
00979;565051.15;5954235.31
00980;565069.54;5954264.88
00981;564918.81;5953964.63
00982;564918.30;5954003.43
00983;564931.51;5954046.15
00984;564900.87;5953990.75
00985;564906.04;5954025.76
00986;564920.56;5954075.11
00987;564980.74;5951591.05
00988;567231.26;5951478.69
00989;567238.79;5951504.77
00990;567256.40;5951527.73
00991;567313.15;5951538.75
00992;567284.60;5951535.98
00993;567247.65;5951546.42
00994;567277.55;5951553.06
00997;565269.32;5951056.79
01001;565016.86;5951236.01
01004;565239.14;5950965.49
01005;565771.28;5950733.26
01006;565745.65;5950735.34
01007;565741.81;5950757.26
01008;565737.72;5950783.12
01009;565735.77;5950807.87
01010;564567.88;5950678.61
01011;564541.07;5950685.05
01012;564514.95;5950691.57
01013;564508.83;5950580.14
01014;564501.57;5950608.16
01015;564498.67;5950627.47
01016;564497.12;5950657.45
01017;564493.71;5950679.97
01018;564475.54;5950714.32
01019;564490.48;5950701.49
01020;564513.48;5950531.75
01021;564509.75;5950556.20
01022;567505.19;5950101.04
01023;567512.51;5950074.06
01024;567519.20;5950049.30
01025;567544.40;5950039.84
01026;567572.63;5950035.68
01027;567598.87;5950031.91
01028;567626.33;5950029.34
01029;567612.73;5950048.43
01030;567606.16;5950074.18
01031;567608.11;5950100.88
01032;567601.82;5950126.68
01033;567499.09;5950127.67
01034;567491.73;5950154.64
01035;567485.14;5950178.38
01036;567508.57;5950179.20
01037;567535.68;5950180.22
01038;567562.29;5950181.01
01039;567588.89;5950175.78
01040;567595.62;5950149.58
